name,date_time,datum,height,lat,lon,sensor,ssh above datum,station,water_surface_height_above_reference_datum
"Duck, NC",2014-07-01T12:00:00Z,MLLW,5.663,36.1833,-75.7467,A1,,8651370,0.535
"Oregon Inlet Marina, NC",2014-07-01T12:00:00Z,MLLW,0.788,35.795,-75.5483,A1,,8652587,0.212
"USCG Station Hatteras, NC",2014-07-01T12:00:00Z,MLLW,8.345,35.2086,-75.7042,A1,,8654467,0.179
"Beaufort, NC",2014-07-01T12:00:00Z,MLLW,0.562,34.72,-76.67,A1,,8656483,0.552
"Wilmington, NC",2014-07-01T12:00:00Z,MLLW,0.747,34.2267,-77.9533,A1,,8658120,0.183
"Wrightsville Beach, NC",2014-07-01T12:00:00Z,MLLW,5.793,34.2133,-77.7867,B1,,8658163,0.795
"Springmaid Pier, SC",2014-07-01T12:00:00Z,MLLW,8.928,33.655,-78.9183,A1,,8661070,0.921
"Oyster Landing (N Inlet Estuary), SC",2014-07-01T12:00:00Z,MLLW,1.215,33.3517,-79.1867,A1,,8662245,0.703
"Charleston, SC",2014-07-01T12:00:00Z,MLLW,0.843,32.7817,-79.925,A1,,8665530,0.975
"Fernandina Beach, FL",2014-07-01T12:00:00Z,MLLW,0.518,30.6717,-81.465,A1,,8720030,0.789
"Mayport (Bar Pilots Dock), FL",2014-07-01T12:00:00Z,MLLW,2.763,30.3967,-81.43,A1,,8720218,0.654
"Dames Point, FL",2014-07-01T12:00:00Z,MLLW,1.151,30.3867,-81.5583,A1,,8720219,0.377
"Southbank Riverwalk, St Johns River, FL",2014-07-01T12:00:00Z,MLLW,-0.418,30.32,-81.6583,Y1,,8720226,0.283
"I-295 Bridge, St Johns River, FL",2014-07-01T12:00:00Z,MLLW,-0.198,30.1917,-81.6917,A1,,8720357,0.269
"Red Bay Point, St Johns River, FL",2014-07-01T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,Y1,,8720503,0.303
"Racy Point, St Johns River, FL",2014-07-01T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,A1,,8720625,0.431
