name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-03-26T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.158,8651370,0.772,False
"Oregon Inlet Marina, NC",2016-03-26T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.01,8652587,-0.002,False
"USCG Station Hatteras, NC",2016-03-26T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.004,8654467,0.076,True
"Beaufort, NC",2016-03-26T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.004,8656483,0.51,True
"Wilmington, NC",2016-03-26T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.005,8658120,0.067,True
"Wrightsville Beach, NC",2016-03-26T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.122,8658163,0.711,False
"Springmaid Pier, SC",2016-03-26T12:00:00Z,MLLW,8.928,33.6556,-78.9164,1;0;0;0,A1,0.088,8661070,0.95,False
"Oyster Landing (N Inlet Estuary), SC",2016-03-26T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.625,False
"Charleston, SC",2016-03-26T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.009,8665530,1.038,False
"Fort Pulaski, GA",2016-03-26T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.007,8670870,1.303,False
"Fernandina Beach, FL",2016-03-26T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.012,8720030,0.745,False
"Mayport (Bar Pilots Dock), FL",2016-03-26T12:00:00Z,MLLW,2.763,30.3982,-81.4279,1;0;0;0,A1,0.006,8720218,0.64,False
"Dames Point, FL",2016-03-26T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.005,8720219,0.2,False
"I-295 Bridge, St Johns River, FL",2016-03-26T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.003,False
"Red Bay Point, St Johns River, FL",2016-03-26T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.004,8720503,0.032,False
"Racy Point, St Johns River, FL",2016-03-26T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.001,8720625,0.091,False
"Trident Pier, FL",2016-03-26T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.006,8721604,0.576,False
"Lake Worth Pier, FL",2016-03-26T12:00:00Z,MLLW,9.142,26.6128,-80.0333,1;0;0;0,A1,0.082,8722670,0.575,False
